key,version,date_from,date_to,CodigoCNAEPrincipal,DescricaoCNAEPrincipal
0,1,"1970-01-01 00:00:01","2038-01-01 00:00:00",0,"Sem descricao"
1,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",111302,"CULTIVO DE MILH"
2,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",121101,"HORTICULTURA, E"
3,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",133407,"CULTIVO DE MAÇÃ"
4,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",155502,"PRODUÇÃO DE PIN"
5,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",159801,APICULTURA
6,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",161099,"ATIVIDADES DE A"
7,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",162899,"ATIVIDADES DE A"
8,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",210101,"CULTIVO DE EUCA"
9,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",230600,"ATIVIDADES DE A"
10,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",311601,"PESCA DE PEIXES"
11,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",322101,"CRIAÇÃO DE PEIX"
12,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",600001,"EXTRAÇÃO DE PET"
13,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",710301,"EXTRAÇÃO DE MIN"
14,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",724301,"EXTRAÇÃO DE MIN"
15,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",810007,"EXTRAÇÃO DE ARG"
16,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",810099,"EXTRAÇÃO E BRIT"
17,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",899102,"EXTRAÇÃO DE QUA"
18,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",899199,"EXTRAÇÃO DE OUT"
19,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1011201,"FRIGORÍFICO - A"
20,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1012101,"ABATE DE AVES"
21,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1012103,"FRIGORÍFICO - A"
22,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1013901,"FABRICAÇÃO DE P"
23,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1020101,"PRESERVAÇÃO DE "
24,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1020102,"FABRICAÇÃO DE C"
25,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1031700,"FABRICAÇÃO DE C"
26,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1032599,"FABRICAÇÃO DE C"
27,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1033301,"FABRICAÇÃO DE S"
28,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1033302,"FABRICAÇÃO DE S"
